ExtractionPlate,ExtractionWell,ABLG,AgeYRS,DNAngul,DestinationWell
DNA0204,A03,47574,2,21.049,A01
DNA0204,A05,47587,10,27.274,A02
DNA0204,A08,47605,20,58.287,A03
DNA0204,A11,738,31,40.948,A04
DNA0204,B01,689,57,18.278,A05
DNA0204,B02,47569,3,71.628,A06
DNA0204,B05,717,18,166.09,A07
DNA0204,B06,677,11,44.436,A08
DNA0204,B07,47599,14,57.597,A09
DNA0204,B08,809,28,187.951,A10
DNA0204,B11,47622,34,78.272,A11
DNA0204,C04,47583,9,37.942,A12
DNA0204,C05,47588,15,126.39,B01
DNA0204,C06,47594,19,70.496,B02
DNA0204,C07,47600,13,73.25,B03
DNA0204,C10,47617,31,210,B04
DNA0204,C12,47630,31,28.783,B05
DNA0204,D02,793,3,66.001,B06
DNA0204,D03,47577,5,46.286,B07
DNA0204,D05,47589,12,67.29,B08
DNA0204,D06,47595,18,72.325,B09
DNA0204,D07,47601,11,85.163,B10
DNA0204,D08,47606,21,58.087,B11
DNA0204,D10,47618,34,72.427,B12
DNA0204,D11,47624,33,71.084,C01
DNA0204,E01,758,41,30.048,C02
DNA0204,E04,697,5,28.402,C03
DNA0204,E07,47602,23,210,C04
DNA0204,F03,698,6,23.687,C05
DNA0204,F05,47590,16,83.426,C06
DNA0204,F07,736,24,138.796,C07
DNA0204,F08,814,26,81.923,C08
DNA0204,F10,47619,36,210,C09
DNA0204,G01,795,59,50.872,C10
DNA0204,G02,757,6,36.555,C11
DNA0204,G03,47579,8,71.285,C12
DNA0204,G04,47585,19,76.453,D01
DNA0204,G06,47597,13,52.83,D02
DNA0204,G07,47603,22,123.955,D03
DNA0204,G10,47620,31,210,D04
DNA0204,G11,47627,30,33.227,D05
DNA0204,H01,816,42,17.717,D06
DNA0204,H02,47573,9,36.732,D07
DNA0204,H04,47586,15,46.983,D08
DNA0204,H06,673,10,51.617,D09
DNA0204,H08,47609,21,42.022,D10
DNA0204,H09,47614,22,71.693,D11
DNA0204,H10,47621,37,28.379,D12